role_category_1,network_receiver_role_category,defender_role_category,raw_responsibility,n_passes,value,valued_responsibility,competition_name
CB-3,GK,ZOM,0.077774977213044,37,-0.0011375227027026,-8.847080228202061e-05,FIFA Men's World Cup
CB-3,LCB-3,CB-3,0.0,39,0.0011656146153845,0.0,FIFA Men's World Cup
CB-3,LCB-3,GK,0.0,168,0.0007801199999999,0.0,FIFA Men's World Cup
CB-3,LCB-3,LB,0.0,129,0.000663575116279,0.0,FIFA Men's World Cup
CB-3,LCB-3,LCB-3,0.0,39,0.0011656146153845,0.0,FIFA Men's World Cup
CB-3,LCB-3,LCB-4,0.0,129,0.000663575116279,0.0,FIFA Men's World Cup
CB-3,LCB-3,LDM,0.0013260017184601,74,0.000384514054054,5.098662964477413e-07,FIFA Men's World Cup
CB-3,LCB-3,LS,0.0942859123461934,77,0.001024336103896,9.658046410498747e-05,FIFA Men's World Cup
CB-3,LCB-3,LW,0.018731659231997,121,0.0005217666115702,9.773554366567526e-06,FIFA Men's World Cup
CB-3,LCB-3,LWB,0.0,39,0.0011656146153845,0.0,FIFA Men's World Cup
CB-3,LCB-3,LZM,0.0203231094179759,94,0.001091554468085,2.218378089057382e-05,FIFA Men's World Cup
CB-3,LCB-3,RB,0.0074160815500777,129,0.000663575116279,4.921127176927822e-06,FIFA Men's World Cup
CB-3,LCB-3,RCB-3,0.0256410256410256,39,0.0011656146153845,2.9887554240630702e-05,FIFA Men's World Cup
CB-3,LCB-3,RCB-4,0.0,129,0.000663575116279,0.0,FIFA Men's World Cup
CB-3,LCB-3,RDM,0.0058965996277144,74,0.000384514054054,2.267325427986101e-06,FIFA Men's World Cup
CB-3,LCB-3,RS,0.1781499549561669,77,0.001024336103896,0.000182485430769,FIFA Men's World Cup
CB-3,LCB-3,RW,0.0697333602550742,121,0.0005217666115702,3.638453909369704e-05,FIFA Men's World Cup
CB-3,LCB-3,RWB,0.0160240744454665,39,0.0011656146153845,1.8677895371646615e-05,FIFA Men's World Cup
CB-3,LCB-3,RZM,0.0607780606555603,94,0.001091554468085,6.63425636701236e-05,FIFA Men's World Cup
CB-3,LCB-3,ST,0.2185638277437276,91,0.0005734756043956,0.0001253410232143,FIFA Men's World Cup
CB-3,LCB-3,ZDM,0.0016599030764983,94,0.001091554468085,1.811874619739936e-06,FIFA Men's World Cup
CB-3,LCB-3,ZOM,0.1026335544726857,52,0.000768730576923,7.889755154145393e-05,FIFA Men's World Cup
CB-3,LDM,CB-3,0.0,11,0.0018467636363635,0.0,FIFA Men's World Cup
CB-3,LDM,GK,0.0,42,0.0005249878571428,0.0,FIFA Men's World Cup
CB-3,LDM,LB,0.0252807197295679,31,5.597064516127739e-05,1.4149781934053495e-06,FIFA Men's World Cup
CB-3,LDM,LCB-3,0.0,11,0.0018467636363635,0.0,FIFA Men's World Cup
CB-3,LDM,LCB-4,0.0482757645753921,31,5.597064516127739e-05,2.7020256889386363e-06,FIFA Men's World Cup
CB-3,LDM,LDM,0.0706145699038617,17,0.0012961799999999,9.152919321798588e-05,FIFA Men's World Cup
CB-3,LDM,LS,0.2164483762636604,17,0.000610398235294,0.0001321197069036,FIFA Men's World Cup
CB-3,LDM,LW,0.0560719863397948,28,0.0007677539285714,4.304948779517979e-05,FIFA Men's World Cup
CB-3,LDM,LWB,0.0,11,0.0018467636363635,0.0,FIFA Men's World Cup
CB-3,LDM,LZM,0.0852193165705615,25,5.771999999798494e-07,4.918858952281089e-08,FIFA Men's World Cup
CB-3,LDM,RB,0.017146192984456,31,5.597064516127739e-05,9.596834833997718e-07,FIFA Men's World Cup
CB-3,LDM,RCB-3,0.0,11,0.0018467636363635,0.0,FIFA Men's World Cup
CB-3,LDM,RCB-4,0.0,31,5.597064516127739e-05,0.0,FIFA Men's World Cup
CB-3,LDM,RDM,0.1627746162417354,17,0.0012961799999999,0.0002109852020802,FIFA Men's World Cup
CB-3,LDM,RS,0.25994716817477,17,0.000610398235294,0.0001586712927235,FIFA Men's World Cup
CB-3,LDM,RW,0.0930973089322763,28,0.0007677539285714,7.14758246721811e-05,FIFA Men's World Cup
CB-3,LDM,RWB,0.0,11,0.0018467636363635,0.0,FIFA Men's World Cup
CB-3,LDM,RZM,0.1031919651674972,25,5.771999999798494e-07,5.956240229260005e-08,FIFA Men's World Cup
CB-3,LDM,ST,0.3588212815325166,25,0.0004669087999999,0.0001675368139748,FIFA Men's World Cup
CB-3,LDM,ZDM,0.0706504663969168,25,5.771999999798494e-07,4.077944920287672e-08,FIFA Men's World Cup
CB-3,LDM,ZOM,0.2510443172712665,17,-0.0004441970588235,-0.0001115131473662,FIFA Men's World Cup
CB-3,LS,CB-3,0.1798500133642208,12,0.0012996183333333,0.0002337363746183,FIFA Men's World Cup
CB-3,LS,GK,0.0,43,-0.0015474276744186,-0.0,FIFA Men's World Cup
CB-3,LS,LB,0.005136952447109,31,-0.00264951,-1.361040687813988e-05,FIFA Men's World Cup
CB-3,LS,LCB-3,0.0723120178329248,12,0.0012996183333333,9.397802409599492e-05,FIFA Men's World Cup
CB-3,LS,LCB-4,0.1293641982009542,31,-0.00264951,-0.0003427517367754,FIFA Men's World Cup
CB-3,LS,LDM,0.1013878091137517,18,-0.0030809788888889,-0.0003123736994701,FIFA Men's World Cup
CB-3,LS,LS,0.1899754709729146,24,0.0015208145833333,0.0002889174667312,FIFA Men's World Cup
CB-3,LS,LW,0.0539948473947202,26,-0.0041316611538461,-0.0002230884134886,FIFA Men's World Cup
CB-3,LS,LWB,0.0145003404972101,12,0.0012996183333333,1.88449083497499e-05,FIFA Men's World Cup
CB-3,LS,LZM,0.0500834337006473,25,-0.0004432708,-2.2200523723233493e-05,FIFA Men's World Cup
CB-3,LS,RB,0.1227282841854057,31,-0.00264951,-0.000325169816232,FIFA Men's World Cup
CB-3,LS,RCB-3,0.0602360000336739,12,0.0012996183333333,7.828380997042889e-05,FIFA Men's World Cup
CB-3,LS,RCB-4,0.4052831195691935,31,-0.00264951,-0.0010738016781297,FIFA Men's World Cup
CB-3,LS,RDM,0.2235225229631377,18,-0.0030809788888889,-0.0006886681744406,FIFA Men's World Cup
CB-3,LS,RS,0.2105080967427865,24,0.0015208145833333,0.0003201437834361,FIFA Men's World Cup
CB-3,LS,RW,0.1337773675110806,26,-0.0041316611538461,-0.0005527227526093,FIFA Men's World Cup
CB-3,LS,RWB,0.106711865624159,12,0.0012996183333333,0.0001386846969493,FIFA Men's World Cup
CB-3,LS,RZM,0.1391594520723277,25,-0.0004432708,-6.168532164766406e-05,FIFA Men's World Cup
CB-3,LS,ST,0.0771942794970142,19,-0.0054231021052631,-0.0004186324596545,FIFA Men's World Cup
CB-3,LS,ZDM,0.2780850619698755,25,-0.0004432708,-0.0001232669878874,FIFA Men's World Cup
CB-3,LS,ZOM,0.1641861281520741,16,-0.001611561875,-0.0002645961045337,FIFA Men's World Cup
CB-3,LW,GK,0.0,3,0.0057087333333333,0.0,FIFA Men's World Cup
CB-3,LW,LB,0.0,3,0.0057087333333333,0.0,FIFA Men's World Cup
CB-3,LW,LCB-4,0.0,3,0.0057087333333333,0.0,FIFA Men's World Cup
CB-3,LW,LDM,0.2094194161265624,2,0.0036820149999999,0.0007710854314692,FIFA Men's World Cup
CB-3,LW,LW,0.0,3,0.0057087333333333,0.0,FIFA Men's World Cup
CB-3,LW,LZM,0.7316236495359114,1,0.00976217,0.0071422344427899,FIFA Men's World Cup
CB-3,LW,RB,0.3547902238955662,3,0.0057087333333333,0.0020254027774934,FIFA Men's World Cup
CB-3,LW,RCB-4,0.0,3,0.0057087333333333,0.0,FIFA Men's World Cup
CB-3,LW,RDM,0.171360501367181,2,0.0036820149999999,0.0006309519364414,FIFA Men's World Cup
CB-3,LW,RW,0.0,3,0.0057087333333333,0.0,FIFA Men's World Cup
CB-3,LW,RZM,0.0,1,0.00976217,0.0,FIFA Men's World Cup
CB-3,LW,ST,0.4603565386504351,3,0.0057087333333333,0.0026280527174116,FIFA Men's World Cup
CB-3,LW,ZDM,0.0,1,0.00976217,0.0,FIFA Men's World Cup
CB-3,LW,ZOM,0.3683836842933244,2,0.0036820149999999,0.0013563942513232,FIFA Men's World Cup
CB-3,LWB,CB-3,0.0,19,0.0009865684210526,0.0,FIFA Men's World Cup
CB-3,LWB,GK,0.0,56,-0.0005210203571428,-0.0,FIFA Men's World Cup
CB-3,LWB,LB,0.027027027027027,37,-0.0012951875675675,-3.500506939371842e-05,FIFA Men's World Cup
CB-3,LWB,LCB-3,0.0526315789473684,19,0.0009865684210526,5.192465373961108e-05,FIFA Men's World Cup
CB-3,LWB,LCB-4,0.0017562489543372,37,-0.0012951875675675,-2.274671811211161e-06,FIFA Men's World Cup
CB-3,LWB,LDM,0.0020493023153737,18,-1.239222222224446e-05,-2.5395409692671094e-08,FIFA Men's World Cup
CB-3,LWB,LS,0.0604297147609294,31,-2.935354838711285e-05,-1.7738265562543717e-06,FIFA Men's World Cup
CB-3,LWB,LW,0.0075465463482345,31,-0.000741739032258,-5.59756798523025e-06,FIFA Men's World Cup
CB-3,LWB,LWB,0.0,19,0.0009865684210526,0.0,FIFA Men's World Cup
CB-3,LWB,LZM,0.0930516455373193,38,-0.0007619494736842,-7.090065234261141e-05,FIFA Men's World Cup
CB-3,LWB,RB,0.1174482322349757,37,-0.0012951875675675,-0.0001521174902235,FIFA Men's World Cup
CB-3,LWB,RCB-3,0.029468749086992,19,0.0009865684210526,2.907293725714928e-05,FIFA Men's World Cup
CB-3,LWB,RCB-4,0.003010211484992,37,-0.0012951875675675,-3.8987884911108805e-06,FIFA Men's World Cup
CB-3,LWB,RDM,0.0008995828405743,18,-1.239222222224446e-05,-1.11478304677147e-08,FIFA Men's World Cup
CB-3,LWB,RS,0.3161941445218661,31,-2.935354838711285e-05,-9.281420120944354e-06,FIFA Men's World Cup
CB-3,LWB,RW,0.2798537344167804,31,-0.000741739032258,-0.0002075784381401,FIFA Men's World Cup
CB-3,LWB,RWB,0.3512675880845983,19,0.0009865684210526,0.0003465495097435,FIFA Men's World Cup
CB-3,LWB,RZM,0.2825316920338221,38,-0.0007619494736842,-0.0002152748740442,FIFA Men's World Cup
CB-3,LWB,ST,0.2667375917219897,25,-0.0011306872,-0.0003015967807188,FIFA Men's World Cup
CB-3,LWB,ZDM,0.0669437098749016,38,-0.0007619494736842,-5.100772450565068e-05,FIFA Men's World Cup
CB-3,LWB,ZOM,0.2013954202572289,18,-0.0016902422222222,-0.0003404070426809,FIFA Men's World Cup
CB-3,LZM,CB-3,0.0070428361649874,8,0.0019537349999999,1.3759835514801556e-05,FIFA Men's World Cup
CB-3,LZM,GK,0.0,32,0.0017015137499999,0.0,FIFA Men's World Cup
CB-3,LZM,LB,0.0,24,0.0016174399999999,0.0,FIFA Men's World Cup
CB-3,LZM,LCB-3,0.0,8,0.0019537349999999,0.0,FIFA Men's World Cup
CB-3,LZM,LCB-4,0.0,24,0.0016174399999999,0.0,FIFA Men's World Cup
CB-3,LZM,LDM,0.0909090909090909,11,0.0026458699999999,0.0002405336363636,FIFA Men's World Cup
CB-3,LZM,LS,0.0907371501764512,19,0.0024542499999999,0.0002226916508205,FIFA Men's World Cup
CB-3,LZM,LW,0.007714300099934,19,0.0019653031578947,1.516093834734798e-05,FIFA Men's World Cup
CB-3,LZM,LWB,0.0,8,0.0019537349999999,0.0,FIFA Men's World Cup
CB-3,LZM,LZM,0.0589032339836485,21,0.0012068509523809,7.108742403148345e-05,FIFA Men's World Cup
CB-3,LZM,RB,0.1285747552459755,24,0.0016174399999999,0.000207961952125,FIFA Men's World Cup
CB-3,LZM,RCB-3,0.2531126585078678,8,0.0019537349999999,0.0004945150598698,FIFA Men's World Cup
CB-3,LZM,RCB-4,0.1009981435251982,24,0.0016174399999999,0.0001633584372633,FIFA Men's World Cup
CB-3,LZM,RDM,0.2888154141800175,11,0.0026458699999999,0.0007641680399164,FIFA Men's World Cup
CB-3,LZM,RS,0.2985880699428843,19,0.0024542499999999,0.0007328097706573,FIFA Men's World Cup
CB-3,LZM,RW,0.2658277472607531,19,0.0019653031578947,0.0005224321111475,FIFA Men's World Cup
CB-3,LZM,RWB,0.0696820482912644,8,0.0019537349999999,0.0001361402566183,FIFA Men's World Cup
CB-3,LZM,RZM,0.3083768315912784,21,0.0012068509523809,0.0003721648728981,FIFA Men's World Cup
CB-3,LZM,ST,0.2563175865605039,13,0.0006013607692307,0.0001541393410213,FIFA Men's World Cup
CB-3,LZM,ZDM,0.131864424183648,21,0.0012068509523809,0.0001591407059111,FIFA Men's World Cup
CB-3,LZM,ZOM,0.2381378529046002,10,0.0001059299999999,2.5225942758181912e-05,FIFA Men's World Cup
CB-3,RCB-3,CB-3,0.0,49,-0.0002757069387755,-0.0,FIFA Men's World Cup
CB-3,RCB-3,GK,0.0046990875562989,150,-4.033179999999334e-05,-1.8952265950310525e-07,FIFA Men's World Cup
CB-3,RCB-3,LB,0.0099009900990099,101,7.386009900990592e-05,7.312881090089695e-07,FIFA Men's World Cup
CB-3,RCB-3,LCB-3,0.0,49,-0.0002757069387755,-0.0,FIFA Men's World Cup
CB-3,RCB-3,LCB-4,0.0068822352083158,101,7.386009900990592e-05,5.083225738956698e-07,FIFA Men's World Cup
CB-3,RCB-3,LDM,0.0,70,0.0001880271428571,0.0,FIFA Men's World Cup
CB-3,RCB-3,LS,0.1428349961926845,87,-3.152034482757585e-05,-4.5022083334389e-06,FIFA Men's World Cup
CB-3,RCB-3,LW,0.0527040743342743,92,7.571815217391737e-05,3.990655120628035e-06,FIFA Men's World Cup
CB-3,RCB-3,LWB,0.0073147038799735,49,-0.0002757069387755,-2.016714614796793e-06,FIFA Men's World Cup
CB-3,RCB-3,LZM,0.0320002439676961,80,-0.0002401458749999,-7.684726587835613e-06,FIFA Men's World Cup
CB-3,RCB-3,RB,0.0,101,7.386009900990592e-05,0.0,FIFA Men's World Cup
CB-3,RCB-3,RCB-3,0.0,49,-0.0002757069387755,-0.0,FIFA Men's World Cup
CB-3,RCB-3,RCB-4,0.0,101,7.386009900990592e-05,0.0,FIFA Men's World Cup
CB-3,RCB-3,RDM,0.0,70,0.0001880271428571,0.0,FIFA Men's World Cup
CB-3,RCB-3,RS,0.0739235526776857,87,-3.152034482757585e-05,-2.3300958712801243e-06,FIFA Men's World Cup
CB-3,RCB-3,RW,0.01971005747137,92,7.571815217391737e-05,1.4924091309738558e-06,FIFA Men's World Cup
CB-3,RCB-3,RWB,0.0,49,-0.0002757069387755,-0.0,FIFA Men's World Cup
CB-3,RCB-3,RZM,0.0303808392131691,80,-0.0002401458749999,-7.295833216080585e-06,FIFA Men's World Cup
CB-3,RCB-3,ST,0.2761019720828594,63,-5.2499999999998417e-05,-1.4495353534349684e-05,FIFA Men's World Cup
CB-3,RCB-3,ZDM,0.0038443031857649,80,-0.0002401458749999,-9.231935523107804e-07,FIFA Men's World Cup
CB-3,RCB-3,ZOM,0.0544401699082103,50,6.764260000000399e-05,3.682474637033328e-06,FIFA Men's World Cup
CB-3,RDM,CB-3,0.125,8,-0.000496635,-6.207937500000314e-05,FIFA Men's World Cup
CB-3,RDM,GK,0.0,35,0.0004235317142856,0.0,FIFA Men's World Cup
CB-3,RDM,LB,0.037037037037037,27,0.0006961737037036,2.578421124828463e-05,FIFA Men's World Cup
CB-3,RDM,LCB-3,0.0,8,-0.000496635,-0.0,FIFA Men's World Cup
CB-3,RDM,LCB-4,0.0,27,0.0006961737037036,0.0,FIFA Men's World Cup
CB-3,RDM,LDM,0.0346096767880432,13,5.6776923076907615e-05,1.965030956711364e-06,FIFA Men's World Cup
CB-3,RDM,LS,0.3752061124394451,14,-0.0014257878571428,-0.0005349643190419,FIFA Men's World Cup
CB-3,RDM,LW,0.1115922641697041,25,0.0014352155999999,0.0001601589583756,FIFA Men's World Cup
CB-3,RDM,LWB,0.125,8,-0.000496635,-6.207937500000314e-05,FIFA Men's World Cup
CB-3,RDM,LZM,0.2376945207328495,22,0.0006402504545454,0.0001521840249421,FIFA Men's World Cup
CB-3,RDM,RB,0.0,27,0.0006961737037036,0.0,FIFA Men's World Cup
CB-3,RDM,RCB-3,0.0,8,-0.000496635,-0.0,FIFA Men's World Cup
CB-3,RDM,RCB-4,0.0,27,0.0006961737037036,0.0,FIFA Men's World Cup
CB-3,RDM,RDM,0.0,13,5.6776923076907615e-05,0.0,FIFA Men's World Cup
CB-3,RDM,RS,0.2855398250121386,14,-0.0014257878571428,-0.000407119215233,FIFA Men's World Cup
CB-3,RDM,RW,0.0,25,0.0014352155999999,0.0,FIFA Men's World Cup
CB-3,RDM,RWB,0.0,8,-0.000496635,-0.0,FIFA Men's World Cup
CB-3,RDM,RZM,0.0838872185608048,22,0.0006402504545454,5.370882981410728e-05,FIFA Men's World Cup
CB-3,RDM,ST,0.2794425800390329,21,0.0016564114285713,0.0004628718832061,FIFA Men's World Cup
CB-3,RDM,ZDM,0.0251144388937604,22,0.0006402504545454,1.6079530917383624e-05,FIFA Men's World Cup
CB-3,RDM,ZOM,0.1753761670335497,11,-0.0015855772727272,-0.0002780724646264,FIFA Men's World Cup
CB-3,RS,CB-3,0.271823162636879,12,-0.0033018683333333,-0.0008975242929772,FIFA Men's World Cup
CB-3,RS,GK,0.0,43,-6.050976744187452e-05,-0.0,FIFA Men's World Cup
CB-3,RS,LB,0.2087940251921443,31,0.0011942096774193,0.0002493438454717,FIFA Men's World Cup
CB-3,RS,LCB-3,0.3424909183935828,12,-0.0033018683333333,-0.001130859917898,FIFA Men's World Cup
CB-3,RS,LCB-4,0.1655760286351829,31,0.0011942096774193,0.0001977324957447,FIFA Men's World Cup
CB-3,RS,LDM,0.326892363061084,20,-0.002230696,-0.0007291974867109,FIFA Men's World Cup
CB-3,RS,LS,0.1728918685460927,26,-0.0007507688461538,-0.0001298018286577,FIFA Men's World Cup
CB-3,RS,LW,0.157228392210996,23,-0.0005943904347826,-9.345505240646852e-05,FIFA Men's World Cup
CB-3,RS,LWB,0.0387183429469228,12,-0.0033018683333333,-0.0001278428704955,FIFA Men's World Cup
CB-3,RS,LZM,0.2735875817579982,23,0.0018266086956521,0.0004997374558616,FIFA Men's World Cup
CB-3,RS,RB,0.0184323811213761,31,0.0011942096774193,2.201212791302885e-05,FIFA Men's World Cup
CB-3,RS,RCB-3,0.1745863398389331,12,-0.0033018683333333,-0.0005764611069467,FIFA Men's World Cup
CB-3,RS,RCB-4,0.1287412318104892,31,0.0011942096774193,0.0001537440249109,FIFA Men's World Cup
CB-3,RS,RDM,0.0834881450525632,20,-0.002230696,-0.0001862366712161,FIFA Men's World Cup
CB-3,RS,RS,0.0907696131340591,26,-0.0007507688461538,-6.814699771848894e-05,FIFA Men's World Cup
CB-3,RS,RW,0.0971084230882136,23,-0.0005943904347826,-5.772031782045935e-05,FIFA Men's World Cup
CB-3,RS,RWB,0.0,12,-0.0033018683333333,-0.0,FIFA Men's World Cup
CB-3,RS,RZM,0.2818195353264062,23,0.0018266086956521,0.0005147740138318,FIFA Men's World Cup
CB-3,RS,ST,0.2210350408794188,17,0.0009951805882352,0.0002199697820029,FIFA Men's World Cup
CB-3,RS,ZDM,0.213329338550216,23,0.0018266086956521,0.0003896692248335,FIFA Men's World Cup
CB-3,RS,ZOM,0.1801565562211582,22,0.001666664090909,0.0003002604629956,FIFA Men's World Cup
CB-3,RW,GK,0.0,6,-0.0044341833333333,-0.0,FIFA Men's World Cup
CB-3,RW,LB,0.3764770489073146,6,-0.0044341833333333,-0.0016693682556473,FIFA Men's World Cup
CB-3,RW,LCB-4,0.1072324723590899,6,-0.0044341833333333,-0.0004754884417268,FIFA Men's World Cup
CB-3,RW,LDM,0.2860566994272892,2,0.001707165,0.0004883459852777,FIFA Men's World Cup
CB-3,RW,LS,0.0411906879220553,2,-0.0257347699999999,-0.0010600328798158,FIFA Men's World Cup
CB-3,RW,LW,0.2283924032355923,5,0.0061611399999999,0.0014071575712709,FIFA Men's World Cup
CB-3,RW,LZM,0.3923321130694523,4,-0.0075048575,-0.0029443966012601,FIFA Men's World Cup
CB-3,RW,RB,0.0,6,-0.0044341833333333,-0.0,FIFA Men's World Cup
CB-3,RW,RCB-4,0.0,6,-0.0044341833333333,-0.0,FIFA Men's World Cup
CB-3,RW,RDM,0.3806699572698157,2,0.001707165,0.0006498664276025,FIFA Men's World Cup
CB-3,RW,RS,0.1073339332206053,2,-0.0257347699999999,-0.0027622140846276,FIFA Men's World Cup
CB-3,RW,RW,0.0173643873008841,5,0.0061611399999999,0.0001069844211749,FIFA Men's World Cup
CB-3,RW,RZM,0.0,4,-0.0075048575,-0.0,FIFA Men's World Cup
CB-3,RW,ST,0.3440035967047279,4,0.0062161099999999,0.0021383641975122,FIFA Men's World Cup
CB-3,RW,ZDM,0.0827720772922198,4,-0.0075048575,-0.0006211926450571,FIFA Men's World Cup
CB-3,RW,ZOM,0.0,2,-0.0299688649999999,-0.0,FIFA Men's World Cup
CB-3,RWB,CB-3,0.0,14,0.0011987364285713,0.0,FIFA Men's World Cup
CB-3,RWB,GK,0.0,54,0.0009926148148148,0.0,FIFA Men's World Cup
CB-3,RWB,LB,0.0957657706786779,40,0.0009204722499999,8.814973440958577e-05,FIFA Men's World Cup
CB-3,RWB,LCB-3,0.0383719557095859,14,0.0011987364285713,4.5997861144608936e-05,FIFA Men's World Cup
CB-3,RWB,LCB-4,0.0524642536733304,40,0.0009204722499999,4.829188962326072e-05,FIFA Men's World Cup
CB-3,RWB,LDM,0.1482430110450198,26,0.0015442992307692,0.0002289315679237,FIFA Men's World Cup
CB-3,RWB,LS,0.4593620476317908,24,0.0015403487499999,0.000707577755867,FIFA Men's World Cup
CB-3,RWB,LW,0.363345282133454,38,0.0013764607894736,0.0005001305338969,FIFA Men's World Cup
CB-3,RWB,LWB,0.3277082985739862,14,0.0011987364285713,0.0003928358754457,FIFA Men's World Cup
CB-3,RWB,LZM,0.1442063774292134,28,0.0004803364285714,6.92675763115688e-05,FIFA Men's World Cup
CB-3,RWB,RB,0.0,40,0.0009204722499999,0.0,FIFA Men's World Cup
CB-3,RWB,RCB-3,0.0,14,0.0011987364285713,0.0,FIFA Men's World Cup
CB-3,RWB,RCB-4,0.0,40,0.0009204722499999,0.0,FIFA Men's World Cup
CB-3,RWB,RDM,0.0185956468790714,26,0.0015442992307692,2.8717243171006168e-05,FIFA Men's World Cup
CB-3,RWB,RS,0.2018028170856291,24,0.0015403487499999,0.0003108467170443,FIFA Men's World Cup
CB-3,RWB,RW,0.0276845374159987,38,0.0013764607894736,3.8106680227839e-05,FIFA Men's World Cup
CB-3,RWB,RWB,0.0213460499818267,14,0.0011987364285713,2.558828771932156e-05,FIFA Men's World Cup
CB-3,RWB,RZM,0.0357142857142857,28,0.0004803364285714,1.715487244897884e-05,FIFA Men's World Cup
CB-3,RWB,ST,0.2649892196313252,30,0.0005544276666666,0.000146917354732,FIFA Men's World Cup
CB-3,RWB,ZDM,0.0510060423594406,28,0.0004803364285714,2.4500060222495636e-05,FIFA Men's World Cup
CB-3,RWB,ZOM,0.2025702044298815,20,-0.0005503759999999,-0.0001114897788332,FIFA Men's World Cup
CB-3,RZM,CB-3,0.0666666666666666,15,0.0026937986666666,0.0001795865777777,FIFA Men's World Cup
CB-3,RZM,GK,0.0,50,0.0032375461999999,0.0,FIFA Men's World Cup
CB-3,RZM,LB,0.1735524120666944,35,0.0034705808571428,0.0006023276790296,FIFA Men's World Cup
CB-3,RZM,LCB-3,0.1613449019177492,15,0.0026937986666666,0.0004346306816594,FIFA Men's World Cup
CB-3,RZM,LCB-4,0.0644308332937131,35,0.0034705808571428,0.0002236124166389,FIFA Men's World Cup
CB-3,RZM,LDM,0.1896045891023596,20,0.0025224884999999,0.0004782753955579,FIFA Men's World Cup
CB-3,RZM,LS,0.3313726297964637,35,0.0036973628571428,0.0012252048532831,FIFA Men's World Cup
CB-3,RZM,LW,0.2307156078544885,27,0.0029882244444444,0.0006894300191056,FIFA Men's World Cup
CB-3,RZM,LWB,0.0810118697299506,15,0.0026937986666666,0.0002182296666627,FIFA Men's World Cup
CB-3,RZM,LZM,0.156210384993694,30,0.0037142513333333,0.0005802046307433,FIFA Men's World Cup
CB-3,RZM,RB,0.0,35,0.0034705808571428,0.0,FIFA Men's World Cup
CB-3,RZM,RCB-3,0.0,15,0.0026937986666666,0.0,FIFA Men's World Cup
CB-3,RZM,RCB-4,0.0,35,0.0034705808571428,0.0,FIFA Men's World Cup
CB-3,RZM,RDM,0.0329072215064268,20,0.0025224884999999,8.300808781691376e-05,FIFA Men's World Cup
CB-3,RZM,RS,0.2130732577084431,35,0.0036973628571428,0.0007878091489016,FIFA Men's World Cup
CB-3,RZM,RW,0.0751426592524957,27,0.0029882244444444,0.0002245431311988,FIFA Men's World Cup
CB-3,RZM,RWB,0.0,15,0.0026937986666666,0.0,FIFA Men's World Cup
CB-3,RZM,RZM,0.0576257239462252,30,0.0037142513333333,0.0002140364220015,FIFA Men's World Cup
CB-3,RZM,ST,0.1699231591169304,15,0.0021646406666666,0.0003678225804329,FIFA Men's World Cup
CB-3,RZM,ZDM,0.1025376007546515,30,0.0037142513333333,0.0003808504203197,FIFA Men's World Cup
CB-3,RZM,ZOM,0.2430765421537599,16,0.0026890993749999,0.0006536569775828,FIFA Men's World Cup
CB-3,ST,GK,0.0,1,-0.00551881,-0.0,FIFA Men's World Cup
CB-3,ST,LB,0.0,1,-0.00551881,-0.0,FIFA Men's World Cup
CB-3,ST,LCB-4,1.0,1,-0.00551881,-0.00551881,FIFA Men's World Cup
CB-3,ST,LW,0.0,1,-0.00551881,-0.0,FIFA Men's World Cup
