player,xt_sum,most_common_position,overall_position,xt_pass
Srđan Babić,0.077994246,Left Center Back,Back,0.054952389
Badr Banoun,0.071562767,Right Center Back,Back,0.043347763
Stefan Mitrović,0.071353035,Left Center Back,Back,0.057273104
Kyung-Won Kwon,0.068261334,Right Center Back,Back,0.054351832
Jan Bednarek,0.063931031,Left Center Back,Back,0.060571312
Sadegh Moharrami,0.060369,Right Wing Back,Back,0.019973889
Christopher Wooh,0.059407312,Right Center Back,Back,0.03063492
Bailey Wright,0.058415594,Right Center Back,Back,0.058390536
Mohammed Waed Abdulwahhab Al Bayati,0.056774437,Left Center Back,Back,0.031529364
Nader Ghandri,0.036419279,Center Back,Back,0.026218345
Alexander Djiku,0.035548641,Center Back,Back,0.040515922
Trent Alexander-Arnold,0.031986199,Right Back,Back,0.016079635
Alejandro Balde Martínez,0.031936975,Left Back,Back,-0.154826418
Matthias Ginter,0.025497399,Center Back,Back,0.025086295
Juan Marcos Foyth,0.022829516,Right Wing Back,Back,-0.030471861
Matías Nicolás Viña Susperreguy,0.021904946,Left Back,Back,-0.013762441
Abdullah Mohammed Madu,0.020304127,Left Center Back,Back,0.023112578
Artur Jędrzejczyk,0.019448817,Left Back,Back,0.031234814
Marcos Llorente Moreno,0.017216412,Right Back,Back,-0.076614744
Tarek Salman Salman,0.015498363,Right Center Back,Back,-0.002197047
Denis Odoi,0.01503143,Right Back,Back,0.01503143
Robert Skov,0.011363373,Left Back,Back,-0.003481169
Lucas Hernández Pi,0.005705294,Left Back,Back,0.005705294
Nathaniel Atkinson,0.003659538,Right Back,Back,0.045915245
Roozbeh Cheshmi,0.001681716,Center Back,Back,0.003264381
Fodé Ballo Touré,0.000493437,Left Back,Back,0.004183011
Filip Mladenović,-0.002723544,Left Wing Back,Back,-0.025520822
Carlos Manuel Martínez Castro,-0.006405422,Right Back,Back,-0.022553345
Darko Lazović,-0.01412506,Right Wing Back,Back,-0.019398909
Mosaab Khoder Jibril,-0.014593974,Right Wing Back,Back,-0.014593974
Abolfazl Jalali,-0.017329486,Left Back,Back,-0.104900705
Filip Đuričić,-0.025455958,Left Wing Back,Back,-0.025455958
Josip Stanišić,-0.026207839,Right Back,Back,-0.033610266
Homam Alamin Ahmed,-0.127883678,Left Wing Back,Back,-0.273053217
Lionel Andrés Messi Cuccittini,3.866414863,Right Center Forward,Forward,2.048275064
Cody Mathès Gakpo,1.364305962,Right Center Forward,Forward,0.826466675
Harry Kane,0.86588555,Center Forward,Forward,0.557911524
Akram Hassan Afif,0.740088953,Left Center Forward,Forward,0.408573556
Julián Álvarez,0.707206523,Left Center Forward,Forward,-0.330258433
Gareth Frank Bale,0.553872437,Right Center Forward,Forward,0.413559227
Joel Nathaniel Campbell Samuels,0.458304406,Center Forward,Forward,0.317670341
Jean-Eric Maxim Choupo-Moting,0.435592203,Center Forward,Forward,0.100334639
Cyle Larin,0.422335321,Center Forward,Forward,0.252350791
Kai Havertz,0.380755281,Center Forward,Forward,0.198886726
Marko Livaja,0.353104192,Center Forward,Forward,0.076049117
Olivier Giroud,0.347396832,Center Forward,Forward,0.106177632
Memphis Depay,0.344124427,Left Center Forward,Forward,-0.263209918
Darwin Gabriel Núñez Ribeiro,0.304580992,Left Center Forward,Forward,-0.222913498
Takuma Asano,0.269528955,Center Forward,Forward,-0.005799347
Sardar Azmoun,0.26767795,Center Forward,Forward,0.063924468
Abderrazak Hamdallah,0.252752324,Center Forward,Forward,-0.02269414
Leandro Trossard,0.249909359,Center Forward,Forward,0.008358263
Wahbi Khazri,0.249484524,Center Forward,Forward,0.110433788
Gonçalo Matias Ramos,0.24711495,Center Forward,Forward,-0.056991861
Kasper Dolberg,0.224506464,Left Center Forward,Forward,0.131007887
Richarlison de Andrade,0.213792346,Center Forward,Forward,-0.065871955
Walid Cheddira,0.211253993,Center Forward,Forward,0.03602028
Robert Lewandowski,0.210872003,Center Forward,Forward,0.117895927
Lautaro Javier Martínez,0.209847064,Left Center Forward,Forward,-0.171206048
Breel-Donald Embolo,0.199374793,Center Forward,Forward,-0.09391395
Iñaki Williams Arthuer,0.18854617,Center Forward,Forward,-0.003702033
Callum Wilson,0.175183261,Center Forward,Forward,0.057203792
Edinson Roberto Cavani Gómez,0.170056285,Right Center Forward,Forward,0.037419806
Niclas Füllkrug,0.1690335,Right Center Forward,Forward,0.000647366
Luis Alberto Suárez Díaz,0.160535142,Right Center Forward,Forward,0.047176264
Gabriel Fernando de Jesus,0.14799724,Center Forward,Forward,0.032420104
Haris Seferović,0.14627251,Center Forward,Forward,-0.001433873
Xavi Simons,0.142270425,Left Center Forward,Forward,0.075265318
Raúl Alonso Jiménez Rodríguez,0.141550585,Center Forward,Forward,0.099414379
Marco Asensio Willemsen,0.139304118,Center Forward,Forward,-0.109720201
Randal Kolo Muani,0.133009529,Center Forward,Forward,-0.21550534
André Miguel Valente Silva,0.1185891,Center Forward,Forward,-0.007495887
Haji Wright,0.118258002,Center Forward,Forward,-0.055796985
Saleh Khalid Al Shehri,0.114112408,Center Forward,Forward,-0.101763226
Steven Bergwijn,0.11338276,Right Center Forward,Forward,-0.032605091
Jonathan David,0.103901011,Center Forward,Forward,-0.034904205
Issam Jebali,0.101186691,Center Forward,Forward,0.068042985
Ajdin Hrustic,0.099641731,Right Center Forward,Forward,-0.015835677
Aleksandar Mitrović,0.099037889,Center Forward,Forward,-0.051731159
Michael Steveen Estrada Martínez,0.093870305,Center Forward,Forward,0.060405639
Michy Batshuayi Tunga,0.0799659,Center Forward,Forward,-0.071560323
Youssoufa Moukoko,0.079269202,Right Center Forward,Forward,0.079269202
Antoine Semenyo,0.068593299,Center Forward,Forward,-0.000340078
Henry Josué Martín Mex,0.064391687,Center Forward,Forward,0.066219525
Lucas Daniel Cavallini,0.060703766,Left Center Forward,Forward,0.048929711
Álvaro Borja Morata Martín,0.055865568,Center Forward,Forward,-0.130990549
Karim Ansarifard,0.055824934,Right Center Forward,Forward,0.006182652
Paulo Bruno Exequiel Dybala,0.053799578,Left Center Forward,Forward,0.001213822
Karol Świderski,0.049777626,Left Center Forward,Forward,0.047878672
Ayase Ueda,0.049719316,Right Center Forward,Forward,0.021179293
Luka Jović,0.044412907,Right Center Forward,Forward,0.022085439
Arkadiusz Milik,0.043954801,Right Center Forward,Forward,-0.036730151
Bruno Petković,0.043067745,Center Forward,Forward,-0.267188114
Ikoma Loïs Openda,0.041938364,Center Forward,Forward,-0.021371323
Youssef En-Nesyri,0.041508605,Center Forward,Forward,-0.014170637
Cristiano Ronaldo dos Santos Aveiro,0.027496512,Center Forward,Forward,-0.244928488
Martin Braithwaite Christensen,0.024767092,Center Forward,Forward,0.005187056
Jason Cummings,0.023585454,Center Forward,Forward,0.025348953
Ardon Jashari,0.011526495,Left Center Forward,Forward,0.020719959
Ahmed Alaa Eldin Abdelmotaal,0.008103862,Left Center Forward,Forward,
Djorkaeff Neicer Reasco González,0.007777123,Right Center Forward,Forward,0.007055374
Taha Yassine Khenissi,0.002014051,Center Forward,Forward,-0.037368728
Ante Budimir,0.000601307,Center Forward,Forward,-0.0129092
Mitchell Thomas Duke,0.000207475,Right Center Forward,Forward,-0.086020257
Haitham Mohammed Asiri,-0.000777928,Center Forward,Forward,-0.000777928
Luuk de Jong,-0.00300975,Left Center Forward,Forward,-0.042096171
Famara Diedhiou,-0.00338389,Center Forward,Forward,-0.062395527
Ui-Jo Hwang,-0.011413589,Center Forward,Forward,-0.030511177
Johan Alberto Venegas Ulloa,-0.011699786,Center Forward,Forward,-0.04817719
Anthony Daniel Contreras Enríquez,-0.011727969,Center Forward,Forward,-0.132288826
Dušan Vlahović,-0.019834696,Right Center Forward,Forward,-0.027686203
Maximiliano Gómez González,-0.027912637,Left Center Forward,Forward,-0.027501166
Daizen Maeda,-0.030199471,Center Forward,Forward,-0.066082114
Krzysztof Piątek,-0.036507018,Left Center Forward,Forward,-0.032951877
Wout Weghorst,-0.041784893,Right Center Forward,Forward,-0.003241218
Jamie MacLaren,-0.043915996,Left Center Forward,Forward,-0.106646646
Mohammed Muntari,-0.05791429,Right Center Forward,Forward,-0.037204509
Pedro Guilherme Abreu dos Santos,-0.062943989,Center Forward,Forward,0.002242494
Gue-Sung Cho,-0.065177074,Center Forward,Forward,-0.049301607
Almoez Ali Zainalabiddin Abdulla,-0.079366627,Right Center Forward,Forward,-0.117886947
Joshua Sargent,-0.083252709,Center Forward,Forward,-0.183876218
Cheikh Ahmadou Bamba Mbacke Dieng,-0.087404793,Center Forward,Forward,-0.102143503
Romelu Lukaku Menama,-0.091276458,Center Forward,Forward,-0.111506739
Vincent Janssen,-0.102413102,Right Center Forward,Forward,-0.086851732
Jesus Ferreira,-0.102899182,Center Forward,Forward,-0.107902371
Boulaye Dia,-0.137463021,Center Forward,Forward,-0.280905435
Kieffer Roberto Francisco Moore,-0.216592687,Left Center Forward,Forward,-0.116433636
Andreas Evald Cornelius,-0.368443298,Center Forward,Forward,-0.261135391
Wojciech Szczęsny,0.793026912,Goalkeeper,Goalkeeper,0.801699111
Hugo Lloris,0.73771476,Goalkeeper,Goalkeeper,0.736539069
Mathew Ryan,0.573560015,Goalkeeper,Goalkeeper,0.569010791
Vanja Milinković Savić,0.562346728,Goalkeeper,Goalkeeper,0.550424361
Yassine Bounou,0.558045174,Goalkeeper,Goalkeeper,0.540188942
Dominik Livaković,0.549556381,Goalkeeper,Goalkeeper,0.558273173
Kasper Schmeichel,0.48840771,Goalkeeper,Goalkeeper,0.477158565
Jordan Pickford,0.450234169,Goalkeeper,Goalkeeper,0.443386003
Damián Emiliano Martínez,0.407618702,Goalkeeper,Goalkeeper,0.41919357
Devis Rogers Epassy Mboka,0.393130741,Goalkeeper,Goalkeeper,0.393481665
Shūichi Gonda,0.380490417,Goalkeeper,Goalkeeper,0.381232424
Matthew Charles Turner,0.342247561,Goalkeeper,Goalkeeper,0.349745489
Andries Noppert,0.323127015,Goalkeeper,Goalkeeper,0.326691803
Danny Ward,0.294045913,Goalkeeper,Goalkeeper,0.294270665
Edouard Mendy,0.284672656,Goalkeeper,Goalkeeper,0.28136487
Seung-Gyu Kim,0.27396801,Goalkeeper,Goalkeeper,0.268279104
Keylor Navas Gamboa,0.265509866,Goalkeeper,Goalkeeper,0.259933189
Diogo Meireles Costa,0.254928593,Goalkeeper,Goalkeeper,0.266258574
Mohammed Khalil Al Owais,0.245178575,Goalkeeper,Goalkeeper,0.247562975
Sergio Rochet Álvarez,0.244825711,Goalkeeper,Goalkeeper,0.246692913
Hernán Ismael Galíndez,0.214633288,Goalkeeper,Goalkeeper,0.220701818
Aymen Dahmen,0.21396561,Goalkeeper,Goalkeeper,0.216629111
Wayne Hennessey,0.196162161,Goalkeeper,Goalkeeper,0.198811228
Lawrence Ati-Zigi,0.177614379,Goalkeeper,Goalkeeper,0.180969373
Milan Borjan,0.176331029,Goalkeeper,Goalkeeper,0.178925685
Alireza Safar Beiranvand,0.172688495,Goalkeeper,Goalkeeper,0.170027542
Manuel Neuer,0.136771207,Goalkeeper,Goalkeeper,0.1372904
André Onana,0.123955672,Goalkeeper,Goalkeeper,0.093862599
Thibaut Courtois,0.117168045,Goalkeeper,Goalkeeper,0.124206914
Francisco Guillermo Ochoa Magaña,0.110697546,Goalkeeper,Goalkeeper,0.11219201
Ederson Santana de Moraes,0.09248758,Goalkeeper,Goalkeeper,0.098034735
Seyed Hossein Hosseini,0.068715341,Goalkeeper,Goalkeeper,0.073297135
Unai Simón Mendibil,0.056066657,Goalkeeper,Goalkeeper,0.058716653
Weverton Pereira da Silva,0.052611469,Goalkeeper,Goalkeeper,0.052611469
Meshaal Aissa Barsham,0.050079962,Goalkeeper,Goalkeeper,0.048560499
Alisson Ramsés Becker,0.049130533,Goalkeeper,Goalkeeper,0.046664032
Munir Mohand Mohamedi,0.046579254,Goalkeeper,Goalkeeper,0.047224913
Yann Sommer,0.044345786,Goalkeeper,Goalkeeper,0.049117945
Saad Abdullah Al Sheeb,0.015055419,Goalkeeper,Goalkeeper,0.015197113
Steve Mandanda,0.006080908,Goalkeeper,Goalkeeper,0.007815178
Gregor Kobel,-0.002519945,Goalkeeper,Goalkeeper,-0.003846465
Luka Modrić,3.440585089,Right Center Midfield,Midfield,2.462110081
Antoine Griezmann,2.950074669,Center Attacking Midfield,Midfield,2.397431257
Mateo Kovačić,2.170390075,Left Center Midfield,Midfield,0.897114716
Joshua Kimmich,2.030442816,Right Defensive Midfield,Midfield,1.8084711
Aurélien Djani Tchouaméni,1.916213198,Right Defensive Midfield,Midfield,1.495792129
Enzo Fernandez,1.90531513,Center Defensive Midfield,Midfield,1.220016847
Pedro González López,1.642801012,Left Center Midfield,Midfield,1.124692393
Ángel Fabián Di María Hernández,1.635754114,Right Midfield,Midfield,0.301950974
Rodrigo Javier De Paul,1.548227026,Right Center Midfield,Midfield,0.744364085
Neymar da Silva Santos Junior,1.500643778,Center Attacking Midfield,Midfield,0.697367816
Piotr Zieliński,1.313964731,Right Center Midfield,Midfield,1.068296747
Azzedine Ounahi,1.265141278,Right Center Midfield,Midfield,0.465121974
Weston McKennie,1.196068719,Right Center Midfield,Midfield,0.857289257
Luis Gerardo Chávez Magallón,1.179425025,Left Center Midfield,Midfield,0.964496846
Dušan Tadić,1.169007614,Right Attacking Midfield,Midfield,0.719999248
Federico Santiago Valverde Dipetta,1.140377328,Right Defensive Midfield,Midfield,0.830565756
Sofyan Amrabat,1.09219476,Center Defensive Midfield,Midfield,0.700627677
In-Beom Hwang,1.08200972,Left Defensive Midfield,Midfield,0.929086456
Yunus Dimoara Musah,1.062255772,Left Center Midfield,Midfield,0.218802418
Leandro Daniel Paredes,1.012358858,Left Defensive Midfield,Midfield,0.868358535
Marcelo Brozović,0.999426415,Center Defensive Midfield,Midfield,0.591630746
Christian Dannemann Eriksen,0.977132739,Left Center Midfield,Midfield,0.859999064
Granit Xhaka,0.976703355,Left Defensive Midfield,Midfield,0.650163136
David Junior Hoilett,0.957397166,Center Attacking Midfield,Midfield,0.578582379
Pierre-Emile Højbjerg,0.932161454,Right Defensive Midfield,Midfield,0.801617738
Woo-Young Jung,0.927804857,Right Defensive Midfield,Midfield,0.849425585
Frenkie de Jong,0.9198191,Left Defensive Midfield,Midfield,0.371174993
Wataru Endo,0.911535832,Right Defensive Midfield,Midfield,0.662918371
Steven Berghuis,0.900632156,Center Attacking Midfield,Midfield,0.627146612
