name,position,overall rating,club,country,defending rating,def_awareness_rating,interceptions,url,comp
Nicole Billa,ST,82,TSG Hoffenheim,Austria,42,42,42,https://www.futbin.com/24/player/369/nicole-billa,
Chantal Hagel,CM,82,VfL Wolfsburg,Germany,73,69,79,https://www.futbin.com/24/player/567/chantal-hagel,
Sveindís Jane Jónsdóttir,RM,82,VfL Wolfsburg,Iceland,46,27,50,https://www.futbin.com/24/player/572/sveindis-jane-jonsdottir,
Sydney Lohmann,CAM,82,FC Bayern München,Germany,70,78,78,https://www.futbin.com/24/player/581/sydney-lohmann,
Tanja Pawollek,CM,82,Frankfurt,Germany,78,82,83,https://www.futbin.com/24/player/596/tanja-pawollek,
Carolin Simon,LB,82,FC Bayern München,Germany,80,81,79,https://www.futbin.com/24/player/614/carolin-simon,
Tanja Pawollek,CM,82,Frankfurt,Poland,78,82,83,https://www.futbin.com/24/player/19933/tanja-pawollek,
Linda Sembrant,CB,82,FC Bayern München,Sweden,83,87,83,https://www.futbin.com/24/player/21391/linda-sembrant,
Nicole Billa,ST,82,1. FC Köln,Austria,42,42,42,https://www.futbin.com/24/player/27423/nicole-billa,
Lineth Beerensteyn,LW,82,VfL Wolfsburg,Netherlands,52,52,48,https://www.futbin.com/24/player/27426/lineth-beerensteyn,
Janina Minge,CM,81,SC Freiburg,Germany,69,59,86,https://www.futbin.com/24/player/367/janina-minge,
Jule Brand,LW,81,VfL Wolfsburg,Germany,54,50,47,https://www.futbin.com/24/player/647/jule-brand,
Verena Hanshaw,LB,81,Frankfurt,Austria,79,86,77,https://www.futbin.com/24/player/677/verena-hanshaw,
Lena Lattwein,CDM,81,VfL Wolfsburg,Germany,75,83,79,https://www.futbin.com/24/player/690/lena-lattwein,
Janina Minge,CM,81,VfL Wolfsburg,Germany,69,59,86,https://www.futbin.com/24/player/27430/janina-minge,
Elisa Senß,CDM,80,Leverkusen,Germany,74,78,79,https://www.futbin.com/24/player/374/elisa-sen,
Nicole Anyomi,ST,80,Frankfurt,Germany,57,51,45,https://www.futbin.com/24/player/741/nicole-anyomi,
Tainara de Souza da Silva,CB,80,FC Bayern München,Brazil,82,84,79,https://www.futbin.com/24/player/775/tainara-de-souza-da-silva,
Lisa Karl,RB,80,SC Freiburg,Germany,79,79,79,https://www.futbin.com/24/player/805/lisa-karl,
Hasret Kayikci,CM,80,SC Freiburg,Germany,56,24,73,https://www.futbin.com/24/player/806/hasret-kayikci,
Sophia Kleinherne,RB,80,Frankfurt,Germany,82,86,80,https://www.futbin.com/24/player/807/sophia-kleinherne,
Erëleta Memeti,LW,80,TSG Hoffenheim,Kosovo,51,53,51,https://www.futbin.com/24/player/828/ereleta-memeti,
Géraldine Reuteler,CM,80,Frankfurt,Switzerland,56,42,46,https://www.futbin.com/24/player/850/geraldine-reuteler,
Sarah Zadrazil,CDM,80,FC Bayern München,Austria,75,76,73,https://www.futbin.com/24/player/877/sarah-zadrazil,
Elisa Senß,CDM,80,Frankfurt,Germany,74,78,79,https://www.futbin.com/24/player/27421/elisa-sen,
Sharon Beck,CAM,79,1. FC Köln,Israel,62,54,65,https://www.futbin.com/24/player/373/sharon-beck,
Sara Agrež,LB,79,VfL Wolfsburg,Slovenia,79,82,76,https://www.futbin.com/24/player/884/sara-agrez,
Jovana Damnjanović,ST,79,FC Bayern München,Serbia,43,38,33,https://www.futbin.com/24/player/939/jovana-damnjanovic,
Kristin Demann,CDM,79,VfL Wolfsburg,Germany,78,81,77,https://www.futbin.com/24/player/944/kristin-demann,
Barbara Dunst,CM,79,Frankfurt,Austria,75,82,82,https://www.futbin.com/24/player/951/barbara-dunst,
Meret Felde,CM,79,SC Freiburg,Germany,71,67,77,https://www.futbin.com/24/player/956/meret-felde,
Jana Feldkamp,CB,79,TSG Hoffenheim,Germany,81,84,82,https://www.futbin.com/24/player/957/jana-feldkamp,
Svenja Fölmli,ST,79,SC Freiburg,Switzerland,54,42,50,https://www.futbin.com/24/player/962/svenja-folmli,
Maria-Luisa Grohs,GK,79,FC Bayern München,Germany,11,13,12,https://www.futbin.com/24/player/983/maria-luisa-grohs,
Isabella Hartig,CM,79,TSG Hoffenheim,Germany,72,69,78,https://www.futbin.com/24/player/987/isabella-hartig,
Stina Johannes,GK,79,Frankfurt,Germany,11,13,13,https://www.futbin.com/24/player/995/stina-johannes,
Lisa Kolb,RW,79,SC Freiburg,Austria,46,33,50,https://www.futbin.com/24/player/998/lisa-kolb,
Melissa Kössler,ST,79,TSG Hoffenheim,Germany,45,39,44,https://www.futbin.com/24/player/1001/melissa-kossler,
Marie Müller,LB,79,SC Freiburg,Germany,76,80,72,https://www.futbin.com/24/player/1035/marie-muller,
Maximiliane Rall,RB,79,FC Bayern München,Germany,76,80,75,https://www.futbin.com/24/player/1056/maximiliane-rall,
Letícia Santos de Oliveira,RB,79,Frankfurt,Brazil,76,81,73,https://www.futbin.com/24/player/1068/leticia-santos-de-oliveira,
Michaela Specht,CB,79,TSG Hoffenheim,Germany,81,81,82,https://www.futbin.com/24/player/1081/michaela-specht,
Weronika Zawistowska,LM,79,FC Bayern München,Poland,47,46,42,https://www.futbin.com/24/player/1110/weronika-zawistowska,
Sara Agrež,LB,79,1. FC Köln,Slovenia,79,82,76,https://www.futbin.com/24/player/20970/sara-agrez,
Sharon Beck,CAM,79,SV Werder Bremen,Israel,62,54,65,https://www.futbin.com/24/player/27424/sharon-beck,
Dominika Grabowska,CM,79,TSG Hoffenheim,Poland,63,61,69,https://www.futbin.com/24/player/27425/dominika-grabowska,
Giovanna Hoffmann,ST,78,SC Freiburg,Germany,46,26,39,https://www.futbin.com/24/player/1216/giovanna-hoffmann,
Sarai Linder,RB,78,TSG Hoffenheim,Germany,77,80,77,https://www.futbin.com/24/player/1238/sarai-linder,
Lisa Schmitz,GK,78,VfL Wolfsburg,Germany,13,12,13,https://www.futbin.com/24/player/1312/lisa-schmitz,
Martina Tufeković,GK,78,TSG Hoffenheim,Germany,18,21,19,https://www.futbin.com/24/player/1334/martina-tufekovic,
Joelle Wedemeyer,RB,78,VfL Wolfsburg,Germany,79,79,77,https://www.futbin.com/24/player/1352/joelle-wedemeyer,
Manjou Wilde,CM,78,1. FC Köln,Germany,72,72,78,https://www.futbin.com/24/player/1353/manjou-wilde,
Riola Xhemaili,CAM,78,VfL Wolfsburg,Switzerland,56,53,55,https://www.futbin.com/24/player/1358/riola-xhemaili,
Yvonne Zielinski,LM,78,MSV Duisburg,Germany,59,65,59,https://www.futbin.com/24/player/1360/yvonne-zielinski,
Nikola Karczewska,ST,78,Leverkusen,Poland,37,34,35,https://www.futbin.com/24/player/19491/nikola-karczewska,
Erin Neyler,GK,78,FC Bayern München,New Zealand,14,16,12,https://www.futbin.com/24/player/20399/erin-neyler,
Charlotte Voll,GK,78,Leverkusen,Germany,14,15,17,https://www.futbin.com/24/player/20400/charlotte-voll,
Giovanna Hoffmann,ST,78,RB Leipzig,Germany,46,26,39,https://www.futbin.com/24/player/28890/giovanna-hoffmann,
Inès Belloumou,LB,77,FC Bayern München,France,74,73,75,https://www.futbin.com/24/player/1386/ines-belloumou,
Rebecka Blomqvist,ST,77,VfL Wolfsburg,Sweden,46,33,42,https://www.futbin.com/24/player/1392/rebecka-blomqvist,
Rafaela Borggräfe,GK,77,SC Freiburg,Germany,16,16,20,https://www.futbin.com/24/player/1394/rafaela-borggrafe,
Gia Corley,CM,77,TSG Hoffenheim,United States,62,58,74,https://www.futbin.com/24/player/1414/gia-corley,
Fabienne Dongus,CM,77,TSG Hoffenheim,Germany,78,81,83,https://www.futbin.com/24/player/1436/fabienne-dongus,
Kristin Kögel,ST,77,Leverkusen,Germany,39,33,28,https://www.futbin.com/24/player/1505/kristin-kogel,
Paulina Krumbiegel,RW,77,TSG Hoffenheim,Germany,58,63,58,https://www.futbin.com/24/player/1512/paulina-krumbiegel,
Shekiera Martinez,ST,77,Frankfurt,Germany,44,34,33,https://www.futbin.com/24/player/1536/shekiera-martinez,
Friederike Repohl,GK,77,Leverkusen,Germany,15,21,14,https://www.futbin.com/24/player/1587/friederike-repohl,
Sandra Starke,ST,77,RB Leipzig,Germany,48,38,39,https://www.futbin.com/24/player/1615/sandra-starke,
Greta Stegemann,CB,77,SC Freiburg,Germany,78,79,77,https://www.futbin.com/24/player/1616/greta-stegemann,
Samantha Steuerwald,CB,77,SC Freiburg,Germany,77,77,76,https://www.futbin.com/24/player/1617/samantha-steuerwald,
Lilla Turanyi,CB,77,Leverkusen,Hungary,78,78,78,https://www.futbin.com/24/player/1635/lilla-turanyi,
Lea Karólína Vilhjálmsdóttir,RM,77,Leverkusen,Iceland,51,49,47,https://www.futbin.com/24/player/1643/lea-karolina-vilhjalmsdottir,
Shekiera Martinez,ST,77,SC Freiburg,Germany,44,34,33,https://www.futbin.com/24/player/27422/shekiera-martinez,
Miray Cin,CM,76,MSV Duisburg,Türkiye,62,57,70,https://www.futbin.com/24/player/1706/miray-cin,
Celina Degen,CB,76,1. FC Köln,Austria,77,79,77,https://www.futbin.com/24/player/1722/celina-degen,
Paula Flach,CB,76,MSV Duisburg,Germany,77,79,76,https://www.futbin.com/24/player/1751/paula-flach,
Vanessa Fürst,CB,76,MSV Duisburg,Germany,78,78,76,https://www.futbin.com/24/player/1755/vanessa-furst,
Franziska Harsch,CM,76,TSG Hoffenheim,Germany,72,64,79,https://www.futbin.com/24/player/1782/franziska-harsch,
Emilie Henriksen,CB,76,MSV Duisburg,Denmark,78,79,78,https://www.futbin.com/24/player/1784/emilie-henriksen,
Alexandria Loy Hess,CAM,76,MSV Duisburg,United States,62,69,63,https://www.futbin.com/24/player/1789/alexandria-loy-hess,
Julia Hickelsberger,RW,76,TSG Hoffenheim,Austria,44,41,43,https://www.futbin.com/24/player/1791/julia-hickelsberger,
Leonie Maier,RB,76,TSG Hoffenheim,Germany,76,80,76,https://www.futbin.com/24/player/1842/leonie-maier,
Sylwia Matysik,RB,76,Leverkusen,Poland,78,79,78,https://www.futbin.com/24/player/1855/sylwia-matysik,
Jacqueline Meißner,CB,76,SGS Essen,Germany,78,81,78,https://www.futbin.com/24/player/1864/jacqueline-meiner,
Selina Ostermeier,CB,76,Leverkusen,Germany,77,78,76,https://www.futbin.com/24/player/1896/selina-ostermeier,
Lena Ostermeier,CB,76,SGS Essen,Germany,77,79,77,https://www.futbin.com/24/player/1897/lena-ostermeier,
Anja Pfluger,CM,76,SGS Essen,Germany,72,76,76,https://www.futbin.com/24/player/1912/anja-pfluger,
Lynn Wilms,RB,76,VfL Wolfsburg,Netherlands,73,74,78,https://www.futbin.com/24/player/2003/lynn-wilms,
Juliane Wirtz,CM,76,SV Werder Bremen,Germany,71,65,78,https://www.futbin.com/24/player/2005/juliane-wirtz,
Pia-Sophie Wolter,ST,76,Frankfurt,Germany,45,36,43,https://www.futbin.com/24/player/2007/pia-sophie-wolter,
Sylwia Matysik,RB,76,1. FC Köln,Poland,78,79,78,https://www.futbin.com/24/player/27427/sylwia-matysik,
Paula Flach,CB,76,SGS Essen,Germany,77,79,76,https://www.futbin.com/24/player/27521/paula-flach,
Vanessa Fürst,CB,76,SGS Essen,Germany,78,78,76,https://www.futbin.com/24/player/27522/vanessa-furst,
Jill Baijings,CAM,75,FC Bayern München,Netherlands,64,59,71,https://www.futbin.com/24/player/2043/jill-baijings,
Chiara Bouziane,RW,75,SC Freiburg,Germany,43,33,40,https://www.futbin.com/24/player/2070/chiara-bouziane,
Selina Cerci,ST,75,1. FC Köln,Germany,53,40,54,https://www.futbin.com/24/player/2089/selina-cerci,
Antonia-Johanna Halverkamps,RM,75,MSV Duisburg,Germany,61,65,58,https://www.futbin.com/24/player/2607/antonia-johanna-halverkamps,
Lina Hausicke,CDM,75,SV Werder Bremen,Germany,71,74,73,https://www.futbin.com/24/player/2613/lina-hausicke,
Franziska Kett,LM,75,FC Bayern München,Germany,51,52,46,https://www.futbin.com/24/player/2647/franziska-kett,
Virginia Kirchberger,CB,75,Frankfurt,Austria,75,79,74,https://www.futbin.com/24/player/2650/virginia-kirchberger,
Nina Lührßen,LM,75,SV Werder Bremen,Germany,64,65,64,https://www.futbin.com/24/player/2686/nina-luhren,
Ramona Maier,ST,75,SGS Essen,Germany,47,28,46,https://www.futbin.com/24/player/2691/ramona-maier,
Nuria Rábano Blanco,LB,75,VfL Wolfsburg,Spain,75,75,75,https://www.futbin.com/24/player/2762/nuria-rabano-blanco,
Judith Steinert,LB,75,SC Freiburg,Germany,75,76,75,https://www.futbin.com/24/player/2830/judith-steinert,
Michelle Ulbrich,CB,75,SV Werder Bremen,Germany,77,79,76,https://www.futbin.com/24/player/2847/michelle-ulbrich,
Luisa Wensing,CB,75,SC Freiburg,Germany,74,73,76,https://www.futbin.com/24/player/2864/luisa-wensing,
Selina Cerci,ST,75,TSG Hoffenheim,Germany,53,40,54,https://www.futbin.com/24/player/27428/selina-cerci,
Nina Lührßen,LM,75,Frankfurt,Germany,64,65,64,https://www.futbin.com/24/player/27533/nina-luhren,
Amira Arfaoui,ST,74,Leverkusen,Switzerland,50,44,45,https://www.futbin.com/24/player/2893/amira-arfaoui,
Maike Berentzen,LM,74,SGS Essen,Germany,69,74,73,https://www.futbin.com/24/player/2927/maike-berentzen,
Michaela Brandenburg,CB,74,SV Werder Bremen,Germany,74,78,73,https://www.futbin.com/24/player/2940/michaela-brandenburg,
Melissa Friedrich,CB,74,Leverkusen,Germany,75,76,70,https://www.futbin.com/24/player/3048/melissa-friedrich,
Clara Fröhlich,CB,74,Leverkusen,Germany,75,75,73,https://www.futbin.com/24/player/3049/clara-frohlich,
Luca Graf,CM,74,RB Leipzig,Germany,65,60,71,https://www.futbin.com/24/player/3079/luca-graf,
Alicia-Sophie Gudorf,RB,74,SC Freiburg,Germany,74,77,70,https://www.futbin.com/24/player/3083/alicia-sophie-gudorf,
Tuva Hansen,RB,74,FC Bayern München,Norway,77,77,74,https://www.futbin.com/24/player/3091/tuva-hansen,
Natasha Kowalski,CAM,74,SGS Essen,Germany,44,38,43,https://www.futbin.com/24/player/3140/natasha-kowalski,
Vanessa Leimenstoll,ST,74,TSG Hoffenheim,Germany,45,42,42,https://www.futbin.com/24/player/3155/vanessa-leimenstoll,
Lara Marti,LB,74,Leverkusen,Switzerland,74,77,73,https://www.futbin.com/24/player/3191/lara-marti,
Nina Räcke,CB,74,RB Leipzig,Germany,75,78,78,https://www.futbin.com/24/player/3295/nina-racke,
Nadine Riesen,RB,74,Frankfurt,Switzerland,73,76,67,https://www.futbin.com/24/player/3305/nadine-riesen,
Sophia Winkler,GK,74,SGS Essen,Germany,14,12,18,https://www.futbin.com/24/player/3414/sophia-winkler,
Cora Zicai,LW,74,SC Freiburg,Germany,51,44,43,https://www.futbin.com/24/player/3432/cora-zicai,
Lara Marti,LB,74,RB Leipzig,Switzerland,74,77,73,https://www.futbin.com/24/player/20975/lara-marti,
Amira Arfaoui,ST,74,1. FC Nürnberg,Switzerland,50,44,45,https://www.futbin.com/24/player/20978/amira-arfaoui,
Lou-Ann Joly,CDM,74,RB Leipzig,France,73,74,78,https://www.futbin.com/24/player/27435/lou-ann-joly,
Amira Arfaoui,ST,74,SV Werder Bremen,Switzerland,50,44,45,https://www.futbin.com/24/player/27534/amira-arfaoui,
Vanessa Leimenstoll,ST,74,1. FC Köln,Germany,45,42,42,https://www.futbin.com/24/player/27535/vanessa-leimenstoll,
Julia Stierli,CB,74,SC Freiburg,Switzerland,76,78,77,https://www.futbin.com/24/player/27958/julia-stierli,
Alena Bienz,ST,73,1. FC Köln,Switzerland,49,35,47,https://www.futbin.com/24/player/3501/alena-bienz,
Cara Bösl,GK,73,Frankfurt,Germany,11,13,10,https://www.futbin.com/24/player/3512/cara-bosl,
Lisa Doorn,CB,73,TSG Hoffenheim,Netherlands,73,74,73,https://www.futbin.com/24/player/3610/lisa-doorn,
Vivien Endemann,RW,73,VfL Wolfsburg,Germany,43,30,48,https://www.futbin.com/24/player/3633/vivien-endemann,
Lisa Josten,ST,73,SV Werder Bremen,Germany,52,30,68,https://www.futbin.com/24/player/3728/lisa-josten,
Gabrielle Lambert,GK,73,SC Freiburg,Canada,17,17,19,https://www.futbin.com/24/player/3768/gabrielle-lambert,
Saskia Matheis,CM,73,SV Werder Bremen,Germany,66,68,71,https://www.futbin.com/24/player/3836/saskia-matheis,
Jasmina Pal,GK,73,1. FC Köln,Austria,10,8,9,https://www.futbin.com/24/player/3905/jasmina-pal,
Catalina Pérez,GK,73,SV Werder Bremen,Colombia,11,8,10,https://www.futbin.com/24/player/3918/catalina-perez,
Katharina Piljić,CDM,73,SGS Essen,Germany,71,76,73,https://www.futbin.com/24/player/3932/katharina-piljic,
Julia Pollak,LB,73,RB Leipzig,Germany,73,76,75,https://www.futbin.com/24/player/3936/julia-pollak,
Annalena Rieke,RM,73,SGS Essen,Germany,57,64,48,https://www.futbin.com/24/player/3953/annalena-rieke,
Jasmin Sehan,ST,73,SV Werder Bremen,Germany,49,44,51,https://www.futbin.com/24/player/3981/jasmin-sehan,
Caroline Siems,RB,73,Leverkusen,Germany,71,76,70,https://www.futbin.com/24/player/3988/caroline-siems,
Beke Sterner,RB,73,SGS Essen,Germany,71,77,74,https://www.futbin.com/24/player/4014/beke-sterner,
Amelie Thöle,CB,73,1. FC Nürnberg,Germany,76,81,74,https://www.futbin.com/24/player/4036/amelie-thole,
Janina Hechler,LB,73,1. FC Köln,Germany,71,75,68,https://www.futbin.com/24/player/19490/janina-hechler,
Janina Hechler,LB,73,Frankfurt,Germany,71,75,68,https://www.futbin.com/24/player/19936/janina-hechler,
Lisa Josten,ST,73,MSV Duisburg,Germany,52,30,68,https://www.futbin.com/24/player/21396/lisa-josten,
Mimmi Larsson,ST,73,RB Leipzig,Sweden,39,38,32,https://www.futbin.com/24/player/22011/mimmi-larsson,
Katharina Piljic,CDM,73,Leverkusen,Germany,71,76,73,https://www.futbin.com/24/player/27956/katharina-piljic,
Caroline Siems,RB,73,SV Werder Bremen,Germany,71,76,70,https://www.futbin.com/24/player/27960/caroline-siems,
Julia Zigiotti,CM,73,FC Bayern München,Sweden,58,60,44,https://www.futbin.com/24/player/29678/julia-zigiotti,
Adriana Achcińska,CM,72,1. FC Köln,Poland,65,62,78,https://www.futbin.com/24/player/4112/adriana-achcinska,
Lydia Andrade,LM,72,RB Leipzig,Switzerland,44,37,47,https://www.futbin.com/24/player/4144/lydia-andrade,
Kara Bathmann,RB,72,MSV Duisburg,Germany,71,73,71,https://www.futbin.com/24/player/4173/kara-bathmann,
Anneke Borbe,GK,72,VfL Wolfsburg,Germany,13,9,12,https://www.futbin.com/24/player/4200/anneke-borbe,
Rieke Dieckmann,CAM,72,SV Werder Bremen,Germany,63,65,64,https://www.futbin.com/24/player/4294/rieke-dieckmann,
Laureta Elmazi,LM,72,SGS Essen,Germany,51,48,43,https://www.futbin.com/24/player/4313/laureta-elmazi,
Alexandra Emmerling,RM,72,MSV Duisburg,Germany,49,55,42,https://www.futbin.com/24/player/4314/alexandra-emmerling,
Sarah Freutel,RB,72,MSV Duisburg,Germany,70,69,72,https://www.futbin.com/24/player/4338/sarah-freutel,
Vanessa Fudalla,ST,72,RB Leipzig,Germany,54,33,67,https://www.futbin.com/24/player/4339/vanessa-fudalla,
Andrea Gavrić,LB,72,1. FC Köln,Bosnia and Herzegovina,71,75,73,https://www.futbin.com/24/player/4349/andrea-gavric,
Anna Gerhardt,RB,72,1. FC Köln,Germany,70,74,69,https://www.futbin.com/24/player/4351/anna-gerhardt,
Lisanne Gräwe,CM,72,Frankfurt,Germany,57,51,69,https://www.futbin.com/24/player/4361/lisanne-grawe,
Synne Skinnes Hansen,RB,72,Leverkusen,Norway,72,73,69,https://www.futbin.com/24/player/4374/synne-skinnes-hansen,
Camilla Küver,RB,72,VfL Wolfsburg,Germany,72,77,74,https://www.futbin.com/24/player/4443/camilla-kuver,
Nastassja Lein,ST,72,1. FC Nürnberg,Germany,37,25,21,https://www.futbin.com/24/player/4456/nastassja-lein,
Tuana Mahmoud,LM,72,SV Werder Bremen,Germany,62,63,64,https://www.futbin.com/24/player/4485/tuana-mahmoud,
Hanna Németh,CB,72,SV Werder Bremen,Hungary,74,73,72,https://www.futbin.com/24/player/4559/hanna-nemeth,
Lena Nuding,GK,72,SC Freiburg,Germany,14,10,20,https://www.futbin.com/24/player/4571/lena-nuding,
Lea Paulick,GK,72,1. FC Nürnberg,Germany,13,13,13,https://www.futbin.com/24/player/4602/lea-paulick,
Cecilía Rán Rúnarsdóttir,GK,72,FC Bayern München,Iceland,11,11,11,https://www.futbin.com/24/player/4669/cecilia-ran-runarsdottir,
Maja Sternad,ST,72,SV Werder Bremen,Germany,43,30,43,https://www.futbin.com/24/player/4729/maja-sternad,
Selina Vobian,CAM,72,SC Freiburg,Germany,42,27,42,https://www.futbin.com/24/player/4790/selina-vobian,
Laura Vogt,CM,72,1. FC Köln,Germany,56,31,70,https://www.futbin.com/24/player/4791/laura-vogt,
Martyna Wiankowska,LM,72,1. FC Köln,Poland,68,72,71,https://www.futbin.com/24/player/4798/martyna-wiankowska,
Verena Wieder,ST,72,Leverkusen,Germany,47,28,46,https://www.futbin.com/24/player/4799/verena-wieder,
Dóra Zeller,LM,72,1. FC Köln,Hungary,45,38,32,https://www.futbin.com/24/player/4816/dora-zeller,
Lea Paulick,GK,72,Frankfurt,Germany,13,13,13,https://www.futbin.com/24/player/27957/lea-paulick,
Verena Wieder,ST,72,SV Werder Bremen,Germany,47,28,46,https://www.futbin.com/24/player/27961/verena-wieder,
Kiara Beck,GK,71,VfL Wolfsburg,Germany,12,11,12,https://www.futbin.com/24/player/4882/kiara-beck,
Kerstin Bogenschütz,CDM,71,1. FC Nürnberg,Germany,72,77,69,https://www.futbin.com/24/player/4905/kerstin-bogenschutz,
Barbara Brecht,LM,71,RB Leipzig,Germany,60,46,60,https://www.futbin.com/24/player/4922/barbara-brecht,
Lotta Cordes,CM,71,1. FC Köln,Germany,69,65,74,https://www.futbin.com/24/player/4987/lotta-cordes,
Julia Debitzki,CDM,71,SGS Essen,Germany,69,73,71,https://www.futbin.com/24/player/5017/julia-debitzki,
Vanessa Diehm,CM,71,TSG Hoffenheim,Germany,56,36,69,https://www.futbin.com/24/player/5026/vanessa-diehm,
Maria Edwards,ST,71,SGS Essen,England,44,30,42,https://www.futbin.com/24/player/5042/maria-edwards,
Sophie Fournier,ST,71,1. FC Nürnberg,Germany,39,24,34,https://www.futbin.com/24/player/5067/sophie-fournier,
Luisa Guttenberger,CB,71,1. FC Nürnberg,Germany,72,76,72,https://www.futbin.com/24/player/5105/luisa-guttenberger,
Elvira Herzog,GK,71,RB Leipzig,Switzerland,19,23,21,https://www.futbin.com/24/player/5122/elvira-herzog,
Sam Kerr,CM,71,FC Bayern München,Scotland,54,47,59,https://www.futbin.com/24/player/5182/sam-kerr,
Kristin Krammer,GK,71,1. FC Nürnberg,Austria,13,15,13,https://www.futbin.com/24/player/5197/kristin-krammer,
Ena Mahmutovic,GK,71,MSV Duisburg,Germany,14,10,11,https://www.futbin.com/24/player/5240/ena-mahmutovic,
Marlene Müller,RM,71,RB Leipzig,Germany,59,47,60,https://www.futbin.com/24/player/5307/marlene-muller,
Fatma Sakar,RB,71,RB Leipzig,Germany,69,72,67,https://www.futbin.com/24/player/5436/fatma-sakar,
Lena Uebach,RM,71,1. FC Köln,Germany,48,50,54,https://www.futbin.com/24/player/5527/lena-uebach,
Ricarda Walkling,CM,71,SV Werder Bremen,Germany,66,65,71,https://www.futbin.com/24/player/5557/ricarda-walkling,
Reena Wichmann,CM,71,SV Werder Bremen,Germany,67,66,70,https://www.futbin.com/24/player/5563/reena-wichmann,
Ena Mahmutovic,GK,71,FC Bayern München,Germany,14,10,11,https://www.futbin.com/24/player/27959/ena-mahmutovic,
Emilie Bragstad,CB,70,Leverkusen,Norway,73,73,68,https://www.futbin.com/24/player/5693/emilie-bragstad,
Mia Büchele,CM,70,SC Freiburg,Germany,55,35,72,https://www.futbin.com/24/player/5702/mia-buchele,
Laura Donhauser,RB,70,1. FC Köln,Germany,69,70,73,https://www.futbin.com/24/player/5832/laura-donhauser,
Meret Günster,CM,70,MSV Duisburg,Germany,59,50,73,https://www.futbin.com/24/player/5944/meret-gunster,
Jenny Hipp,CM,70,RB Leipzig,Germany,57,41,69,https://www.futbin.com/24/player/5968/jenny-hipp,
Jill Janssens,RW,70,TSG Hoffenheim,Belgium,26,19,22,https://www.futbin.com/24/player/5999/jill-janssens,
Samantha Jerabek,RM,70,MSV Duisburg,United States,45,34,40,https://www.futbin.com/24/player/6009/samantha-jerabek,
Julia Kappenberger,LM,70,MSV Duisburg,Germany,42,30,32,https://www.futbin.com/24/player/6030/julia-kappenberger,
Frederike Kempe,CB,70,RB Leipzig,Germany,71,74,69,https://www.futbin.com/24/player/6036/frederike-kempe,
